num_hidden_layers,hidden_size,layer,neuron_index,value
2,10,0,0,0.09068463
2,10,0,0,0.12502237
2,10,0,0,0.15684168
2,10,0,0,0.14098658
2,10,0,0,0.13831756
2,10,0,0,0.13497993
2,10,0,0,0.122710675
2,10,0,0,0.08746551
2,10,0,0,0.12450285
2,10,0,0,0.15302533
2,10,0,0,0.12460003
2,10,0,0,0.10639642
2,10,0,0,0.105692774
2,10,0,0,0.16562909
2,10,0,0,0.13438539
2,10,0,0,0.15836886
2,10,0,0,0.14491661
2,10,0,0,0.11146319
2,10,0,0,0.15696546
2,10,0,0,0.11097717
2,10,0,0,0.09069836
2,10,0,0,0.12399071
2,10,0,0,0.15511028
2,10,0,0,0.14200899
2,10,0,0,0.117496416
2,10,0,0,0.1591839
2,10,0,0,0.105660036
2,10,0,0,0.1653711
2,10,0,0,0.16764207
2,10,0,0,0.16808277
2,10,0,0,0.13540223
2,10,0,0,0.09819456
2,10,0,0,0.16701233
2,10,0,0,0.09144613
2,10,0,0,0.14378321
2,10,0,0,0.11432867
2,10,0,0,0.12484026
2,10,0,0,0.16510965
2,10,0,0,0.091525115
2,10,0,0,0.10389027
2,10,0,0,0.084525354
2,10,0,0,0.105302885
2,10,0,0,0.15483743
2,10,0,0,0.09130174
2,10,0,0,0.12449418
2,10,0,0,0.106620476
2,10,0,0,0.16086346
2,10,0,0,0.1390054
2,10,0,0,0.16851708
2,10,0,0,0.14333558
2,10,0,0,0.11760834
2,10,0,0,0.16015495
2,10,0,0,0.113228545
2,10,0,0,0.10395984
2,10,0,0,0.12085693
2,10,0,0,0.15522061
2,10,0,0,0.15973659
2,10,0,0,0.13989341
2,10,0,0,0.10811926
2,10,0,0,0.08484839
2,10,0,0,0.102335066
2,10,0,0,0.13156565
2,10,0,0,0.11187454
2,10,0,0,0.16848245
2,10,0,0,0.16308549
2,10,0,0,0.106943905
2,10,0,0,0.15085633
2,10,0,0,0.10632805
2,10,0,0,0.15678701
2,10,0,0,0.14783378
2,10,0,0,0.1617927
2,10,0,0,0.10459603
2,10,0,0,0.1311102
2,10,0,0,0.09406407
2,10,0,0,0.100471355
2,10,0,0,0.103256926
2,10,0,0,0.12541187
2,10,0,0,0.13992153
